sci_name_id,park_id,category_name,family,order,common_names
43,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk"
44,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"Broad-Winged Hawk, Northern Broad-Winged Hawk"
45,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"American Marsh Hawk, Marsh Hawk, Northern Harrier"
46,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Accipitridae,Accipitriformes,"Bald Eagle, Northern Bald Eagle"
47,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Cathartidae,Accipitriformes,"Eastern Turkey Vulture, Turkey Vulture"
48,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Pandionidae,Accipitriformes,"American Osprey, Fish Hawk, Osprey"
49,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Wood Duck
50,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"American Pintail, Northern Pintail, Pintail"
51,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"American Wigeon, Baldpate"
52,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Green-Winged Teal
53,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Blue-Winged Teal
54,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Eurasian Wigeon, European Widgeon, Widgeon"
55,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Common Mallard, Mallard"
56,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck"
57,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Gadwall
58,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Common White-Fronted Goose, Greater White-Fronted Goose"
59,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Ring-Necked Duck
60,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Greater Scaup, Greater Scaup Duck"
61,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Canvasback
62,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Canada Goose, Eastern Canada Goose"
63,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Bufflehead, Buffle-Head"
64,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"American Golden-Eye, Common Goldeneye"
65,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Blue Goose, Snow Goose"
66,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"Eastern Harlequin Duck, Harlequin Duck"
67,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Hooded Merganser
68,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"American Merganser, Common Merganser"
69,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,Red-Breasted Merganser
70,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Anatidae,Anseriformes,"American Eider, Common Eider, Eider Duck, Northern Eider"
71,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Apodidae,Apodiformes,Chimney Swift
72,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Trochilidae,Apodiformes,Ruby-Throated Hummingbird
73,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Caprimulgidae,Caprimulgiformes,"Eastern Whip-Poor-Will, Whip-Poor-Will"
74,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Caprimulgidae,Caprimulgiformes,"Common Nighthawk, Eastern Nighthawk"
75,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Alcidae,Charadriiformes,"Black Guillemot, Sea Pigeon, Southern Black Guillemot"
76,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Charadriidae,Charadriiformes,"Killdeer, Northern Killdeer"
77,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Charadriidae,Charadriiformes,Black-Bellied Plover
78,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Laridae,Charadriiformes,"American Herring Gull, Herring Gull"
79,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Laridae,Charadriiformes,Laughing Gull
80,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Laridae,Charadriiformes,Ring-Billed Gull
81,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Laridae,Charadriiformes,Great Black-Backed Gull
82,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Laridae,Charadriiformes,"Common Tern, Northern Common Tern"
83,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Recurvirostridae,Charadriiformes,"American Avocet, Avocet"
84,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,Spotted Sandpiper
85,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,Ruddy Turnstone
86,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper"
87,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,White-Rumped Sandpiper
88,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,Purple Sandpiper
89,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,Pectoral Sandpiper
90,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,Least Sandpiper
91,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,Semipalmated Sandpiper
92,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe"
93,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,"Eastern Dowitcher, Short-Billed Dowitcher"
94,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,Bird,Scolopacidae,Charadriiformes,"Hudsonian Curlew, Hudsonian Whimbrel, Whimbrel"
