,sci_name
4383,Zapus hudsonius
4384,Erethizon dorsatum
4385,Glaucomys sabrinus
4386,Marmota caligata
4387,Spermophilus parryii
4388,Tamiasciurus hudsonicus
4389,Sorex cinereus
4390,Sorex hoyi
4391,Sorex monticolus
4392,Sorex palustris
4393,Sorex tundrensis
4394,Sorex yukonicus
4395,Accipiter gentilis
4396,Accipiter striatus
4397,Aquila chrysaetos
4398,Buteo jamaicensis
4399,Buteo lagopus
4400,Buteo swainsoni
4401,Circus cyaneus
4402,Haliaeetus leucocephalus
4403,Pandion haliaetus
4404,Anas acuta
4405,Anas americana
4406,Anas clypeata
4407,Anas crecca
4408,Anas discors
4409,Anas penelope
4410,Anas platyrhynchos
4411,Anas strepera
4412,Anser albifrons
4413,Aythya affinis
4414,Aythya americana
4415,Aythya collaris
4416,Aythya marila
4417,Aythya valisineria
4418,Branta bernicla
4419,Branta canadensis
4420,Bucephala albeola
4421,Bucephala clangula
4422,Bucephala islandica
4423,Chen caerulescens
4424,Clangula hyemalis
4425,Cygnus buccinator
4426,Cygnus columbianus
4427,Histrionicus histrionicus
4428,Melanitta fusca
4429,Melanitta nigra
4430,Melanitta perspicillata
4431,Mergus merganser
4432,Mergus serrator
4433,Selasphorus rufus
4434,Charadrius semipalmatus
4435,Pluvialis dominica
4436,Larus argentatus
4437,Larus canus
4438,Larus glaucescens
4439,Larus philadelphia
4440,Sterna paradisaea
4441,Actitis macularia
4442,Aphriza virgata
4443,Arenaria interpres
4444,Arenaria melanocephala
4445,Bartramia longicauda
4446,Calidris alba
4447,Calidris alpina
4448,Calidris bairdii
4449,Calidris mauri
4450,Calidris melanotos
4451,Calidris minutilla
4452,Calidris pusilla
4453,Gallinago delicata
4454,Limnodromus scolopaceus
4455,Limosa haemastica
4456,Numenius phaeopus
4457,Phalaropus fulicarius
4458,Phalaropus lobatus
4459,Tringa flavipes
4460,Tringa incana
4461,Tringa melanoleuca
4462,Tringa solitaria
4463,Stercorarius longicaudus
4464,Stercorarius pomarinus
4465,Ceryle alcyon
4466,Falco columbarius
4467,Falco peregrinus
4468,Falco rusticolus
4469,Falco sparverius
4470,Bonasa umbellus
4471,Lagopus lagopus
4472,Lagopus leucura
4473,Lagopus muta
4474,Gavia adamsii
4475,Gavia immer
4476,Gavia pacifica
4477,Gavia stellata
4478,Grus canadensis
4479,Eremophila alpestris
4480,Bombycilla garrulus
4481,Calcarius lapponicus
4482,Plectrophenax nivalis
4483,Piranga ludoviciana
4484,Certhia americana
4485,Cinclus mexicanus
4486,Corvus corax
4487,Perisoreus canadensis
4488,Pica hudsonia
4489,Junco hyemalis
4490,Passerculus sandwichensis
4491,Passerella iliaca
4492,Spizella arborea
4493,Zonotrichia atricapilla
4494,Zonotrichia leucophrys
4495,Carduelis flammea
4496,Carduelis hornemanni
4497,Carduelis pinus
4498,Leucosticte arctous
4499,Leucosticte tephrocotis
4500,Loxia leucoptera
4501,Pinicola enucleator
4502,Petrochelidon pyrrhonota
4503,Riparia riparia
4504,Tachycineta bicolor
4505,Tachycineta thalassina
4506,Agelaius phoeniceus
4507,Euphagus carolinus
4508,Molothrus ater
4509,Lanius excubitor
4510,Anthus spinoletta
4511,Oenanthe oenanthe
4512,Phyllocopus borealis
4513,Dendroica coronata
4514,Dendroica petechia
4515,Dendroica striata
4516,Seiurus noveboracensis
4517,Setophaga ruticilla
4518,Vermivora celata
4519,Wilsonia pusilla
4520,Phylloscopus borealis
4521,Regulus calendula
4522,Regulus satrapa
4523,Sturnus vulgaris
4524,Catharus guttatus
4525,Catharus minimus
4526,Catharus ustulatus
4527,Ixoreus naevius
4528,Myadestes townsendi
4529,Turdus migratorius
4530,Contopus cooperi
4531,Contopus sordidulus
4532,Empidonax alnorum
4533,Empidonax hammondii
4534,Sayornis saya
4535,Colaptes auratus
4536,Picoides arcticus
4537,Picoides dorsalis
4538,Picoides pubescens
4539,Picoides villosus
4540,Podiceps auritus
4541,Podiceps grisegena
4542,Aegolius funereus
4543,Asio flammeus
4544,Bubo scandiaca
4545,Bubo virginianus
4546,Strix nebulosa
4547,Surnia ulula
4548,Rana sylvatica
4549,Ovis canadensis
4550,Odocoileus hemionus
4551,Canis latrans
4552,Urocyon cinereoargenteus
4553,Vulpes macrotis
4554,Lynx rufus
4555,Puma concolor
4556,Spilogale putorius
4557,Taxidea taxus
4558,Bassariscus astutus
4559,Tadarida brasiliensis
4560,Antrozous pallidus
4561,Corynorhinus townsendii
4562,Lasionycteris noctivagans
4563,Lasiurus cinereus
4564,Myotis californicus
4565,Myotis ciliolabrum
4566,Myotis thysanodes
4567,Pipistrellus hesperus
4568,Lepus californicus
4569,Sylvilagus audubonii
4570,Sylvilagus nuttallii
4571,Equus asinus
4572,Equus caballus
4573,Neotoma fuscipes
4574,Neotoma lepida
4575,Onychomys torridus
4576,Peromyscus boylii
4577,Peromyscus crinitus
4578,Peromyscus eremicus
4579,Peromyscus maniculatus
4580,Peromyscus truei
4581,Reithrodontomys megalotis
4582,Thomomys bottae
4583,Chaetodipus formosus
4584,Chaetodipus penicillatus
4585,Dipodomys deserti
4586,Dipodomys merriami
4587,Dipodomys microps
4588,Dipodomys panamintinus
4589,Perognathus longimembris
4590,Perognathus parvus
4591,Ammospermophilus leucurus
4592,Spermophilus mohavensis
4593,Spermophilus tereticaudus
4594,Tamias panamintinus
4595,Tamias umbrinus
4596,Notiosorex crawfordi
4597,Setophaga occidentalis
4598,Accipiter cooperii
4599,Accipiter striatus
4600,Aquila chrysaetos
4601,Buteo albonotatus
4602,Buteo jamaicensis
4603,Buteo lagopus
4604,Buteo lineatus
4605,Buteo platypterus
4606,Buteo regalis
4607,Buteo swainsoni
4608,Circus cyaneus
4609,Elanus leucurus
4610,Haliaeetus leucocephalus
4611,Ictinia mississippiensis
4612,Cathartes aura
4613,Pandion haliaetus
4614,Aix sponsa
4615,Anas acuta
4616,Anas americana
4617,Anas clypeata
4618,Anas crecca
4619,Anas cyanoptera
4620,Anas discors
4621,Anas penelope
4622,Anas platyrhynchos
4623,Anas querquedula
4624,Anas strepera
4625,Anser albifrons
4626,Aythya affinis
4627,Aythya americana
4628,Aythya collaris
4629,Aythya marila
4630,Aythya valisineria
4631,Branta canadensis
4632,Branta hutchinsii
4633,Bucephala albeola
4634,Bucephala clangula
4635,Bucephala islandica
4636,Chen caerulescens
4637,Chen rossii
4638,Clangula hyemalis
4639,Cygnus columbianus
4640,Dendrocygna bicolor
4641,Lophodytes cucullatus
4642,Melanitta americana
4643,Melanitta fusca
4644,Melanitta perspicillata
4645,Mergus merganser
4646,Mergus serrator
4647,Oxyura jamaicensis
4648,Selasphorus calliope
4649,Aeronautes saxatalis
4650,Chaetura pelagica
4651,Chaetura vauxi
4652,Cypseloides niger
4653,Archilochus alexandri
4654,Archilochus colubris
4655,Calypte anna
4656,Calypte costae
4657,Selasphorus platycercus
4658,Selasphorus rufus
4659,Chordeiles acutipennis
4660,Chordeiles minor
4661,Phalaenoptilus nuttallii
4662,Charadrius alexandrinus
4663,Charadrius montanus
4664,Charadrius nivosus
4665,Charadrius semipalmatus
4666,Charadrius vociferus
4667,Pluvialis squatarola
4668,Chlidonias niger
4669,Hydroprogne caspia
4670,Larus argentatus
4671,Larus californicus
4672,Larus delawarensis
4673,Larus heermanni
4674,Larus philadelphia
4675,Larus thayeri
4676,Leucophaeus pipixcan
4677,Sterna forsteri
4678,Sterna hirundo
4679,Sternula antillarum
4680,Xema sabini
4681,Himantopus mexicanus
4682,Recurvirostra americana
4683,Actitis macularius
4684,Arenaria interpres
4685,Bartramia longicauda
4686,Calidris alba
4687,Calidris alpina
4688,Calidris bairdii
4689,Calidris canutus
4690,Calidris himantopus
4691,Calidris mauri
4692,Calidris melanotos
4693,Calidris minutilla
4694,Calidris pusilla
4695,Gallinago delicata
4696,Limnodromus
4697,Limnodromus griseus
4698,Limnodromus scolopaceus
4699,Limosa fedoa
4700,Numenius americanus
4701,Numenius phaeopus
4702,Phalaropus fulicaria
4703,Phalaropus lobatus
4704,Phalaropus tricolor
4705,Tringa flavipes
4706,Tringa melanoleuca
4707,Tringa semipalmata
4708,Tringa solitaria
4709,Mycteria americana
4710,Columba fasciata
4711,Columba livia
4712,Columbina inca
4713,Columbina passerina
4714,Columbina talpacoti
4715,Streptopelia decaocto
4716,Streptopelia risoria
4717,Zenaida asiatica
4718,Zenaida macroura
4719,Megaceryle alcyon
4720,Coccyzus americanus
4721,Geococcyx californianus
4722,Falco columbarius
4723,Falco mexicanus
4724,Falco peregrinus
4725,Falco sparverius
4726,Callipepla californica
4727,Callipepla gambelii
4728,Oreortyx pictus
4729,Alectoris chukar
4730,Gavia immer
4731,Gavia pacifica
4732,Grus canadensis
4733,Fulica americana
4734,Gallinula chloropus
4735,Porphyrio martinicus
4736,Porzana carolina
4737,Rallus limicola
4738,Haemorhous mexicanus
4739,Haemorhous purpureus
4740,Rhynchophanes mccownii
4741,Psaltriparus minimus
4742,Eremophila alpestris
4743,Bombycilla cedrorum
4744,Bombycilla garrulus
4745,Calcarius lapponicus
4746,Calcarius ornatus
4747,Calcarius pictus
4748,Plectrophenax nivalis
4749,Cardinalis sinuatus
4750,Passerina amoena
4751,Passerina caerulea
4752,Passerina ciris
4753,Passerina cyanea
4754,Passerina versicolor
4755,Pheucticus ludovicianus
4756,Pheucticus melanocephalus
4757,Piranga flava
4758,Piranga ludoviciana
4759,Piranga olivacea
4760,Piranga rubra
4761,Spiza americana
4762,Certhia americana
4763,Cinclus mexicanus
4764,Aphelocoma californica
4765,Corvus brachyrhynchos
4766,Corvus corax
4767,Cyanocitta cristata
4768,Cyanocitta stelleri
4769,Gymnorhinus cyanocephalus
4770,Nucifraga columbiana
4771,Pica hudsonia
4772,Ammodramus leconteii
4773,Ammodramus nelsoni
4774,Ammodramus savannarum
4775,Amphispiza bilineata
4776,Artemisiospiza belli
4777,Artemisiospiza nevadensis
4778,Calamospiza melanocorys
4779,Chondestes grammacus
4780,Junco hyemalis
4781,Melospiza georgiana
4782,Melospiza lincolnii
4783,Melospiza melodia
4784,Passerculus sandwichensis
4785,Passerella iliaca
4786,Pipilo chlorurus
4787,Pipilo maculatus
4788,Pooecetes gramineus
4789,Spizella arborea
4790,Spizella atrogularis
4791,Spizella breweri
4792,Spizella pallida
4793,Spizella passerina
4794,Spizella pusilla
4795,Zonotrichia albicollis
4796,Zonotrichia atricapilla
4797,Zonotrichia leucophrys
4798,Zonotrichia querula
4799,Coccothraustes vespertinus
4800,Haemorhous cassinii
4801,Leucosticte tephrocotis
4802,Loxia curvirostra
4803,Spinus lawrencei
4804,Spinus pinus
4805,Spinus psaltria
4806,Spinus tristis
4807,Hirundo rustica
4808,Petrochelidon pyrrhonota
4809,Progne subis
4810,Riparia riparia
4811,Stelgidopteryx
4812,Stelgidopteryx serripennis
4813,Tachycineta bicolor
4814,Tachycineta thalassina
4815,Agelaius phoeniceus
4816,Agelaius tricolor
4817,Dolichonyx oryzivorus
4818,Euphagus carolinus
4819,Euphagus cyanocephalus
4820,Icterus bullockii
4821,Icterus cucullatus
4822,Icterus galbula
4823,Icterus parisorum
4824,Icterus pustulatus
4825,Icterus spurius
4826,Molothrus aeneus
4827,Molothrus ater
4828,Quiscalus mexicanus
4829,Quiscalus quiscula
4830,Sturnella neglecta
4831,Xanthocephalus xanthocephalus
4832,Lanius excubitor
4833,Lanius ludovicianus
4834,Dumetella carolinensis
4835,Mimus polyglottos
4836,Oreoscoptes montanus
4837,Toxostoma bendirei
4838,Toxostoma lecontei
4839,Toxostoma rufum
4840,Anthus cervinus
4841,Anthus rubescens
4842,Anthus spragueii
4843,Baeolophus ridgwayi
4844,Poecile gambeli
4845,Cardellina canadensis
4846,Cardellina pusilla
4847,Geothlypis formosa
4848,Geothlypis tolmiei
4849,Geothlypis trichas
4850,Helmitheros vermivorus
4851,Icteria virens
4852,Mniotilta varia
4853,Myioborus pictus
4854,Oporornis agilis
4855,Oporornis philadelphia
4856,Oreothlypis celata
4857,Oreothlypis luciae
4858,Oreothlypis peregrina
4859,Oreothlypis ruficapilla
4860,Parkesia motacilla
4861,Parkesia noveboracensis
4862,Parula americana
4863,Protonotaria citrea
4864,Seiurus aurocapillus
4865,Setophaga americana
4866,Setophaga caerulescens
4867,Setophaga castanea
4868,Setophaga citrina
4869,Setophaga coronata
4870,Setophaga discolor
4871,Setophaga dominica
4872,Setophaga fusca
4873,Setophaga magnolia
4874,Setophaga nigrescens
4875,Setophaga palmarum
4876,Setophaga pensylvanica
4877,Setophaga petechia
4878,Setophaga pinus
4879,Setophaga ruticilla
4880,Setophaga striata
4881,Setophaga tigrina
4882,Setophaga townsendi
4883,Setophaga virens
4884,Vermivora chrysoptera
4885,Vermivora virginiae
4886,Passer domesticus
4887,Polioptila caerulea
4888,Polioptila melanura
4889,Phainopepla nitens
4890,Regulus calendula
4891,Regulus satrapa
4892,Auriparus flaviceps
4893,Sitta canadensis
4894,Sitta carolinensis
4895,Sitta pygmaea
4896,Sturnus vulgaris
4897,Campylorhynchus brunneicapillus
4898,Catherpes mexicanus
4899,Cistothorus palustris
4900,Cistothorus platensis
4901,Salpinctes obsoletus
4902,Thryomanes bewickii
4903,Troglodytes aedon
4904,Troglodytes hiemalis
4905,Troglodytes pacificus
4906,Troglodytes troglodytes
4907,Catharus guttatus
4908,Catharus ustulatus
4909,Hylocichla mustelina
4910,Ixoreus naevius
4911,Myadestes townsendi
4912,Sialia currucoides
4913,Sialia mexicana
4914,Turdus migratorius
4915,Turdus rufopalliatus
4916,Contopus cooperi
4917,Contopus sordidulus
4918,Empidonax difficilis
4919,Empidonax hammondii
4920,Empidonax minimus
4921,Empidonax oberholseri
4922,Empidonax traillii
4923,Empidonax wrightii
4924,Myiarchus cinerascens
4925,Myiarchus tuberculifer
4926,Myiarchus tyrannulus
4927,Pyrocephalus rubinus
4928,Sayornis nigricans
4929,Sayornis phoebe
4930,Sayornis saya
4931,Tyrannus forficatus
4932,Tyrannus melancholicus
4933,Tyrannus tyrannus
4934,Tyrannus verticalis
4935,Tyrannus vociferans
4936,Vireo bellii
4937,Vireo cassinii
4938,Vireo flavifrons
4939,Vireo gilvus
4940,Vireo huttoni
4941,Vireo olivaceus
4942,Vireo philadelphicus
4943,Vireo plumbeus
4944,Vireo solitarius
4945,Vireo vicinior
4946,Ardea alba
4947,Ardea herodias
4948,Botaurus lentiginosus
4949,Bubulcus ibis
4950,Butorides virescens
4951,Egretta caerulea
4952,Egretta thula
4953,Ixobrychus exilis
4954,Nycticorax nycticorax
4955,Pelecanus erythrorhynchos
4956,Plegadis chihi
4957,Colaptes auratus
4958,Melanerpes formicivorus
4959,Melanerpes lewis
4960,Picoides albolarvatus
4961,Picoides scalaris
4962,Picoides villosus
4963,Sphyrapicus nuchalis
4964,Sphyrapicus ruber
4965,Sphyrapicus thyroideus
4966,Sphyrapicus varius
4967,Aechmophorus clarkii
4968,Aechmophorus occidentalis
4969,Podiceps auritus
4970,Podiceps grisegena
4971,Podiceps nigricollis
4972,Podilymbus podiceps
4973,Psiloscops flammeolus
4974,Aegolius acadicus
4975,Asio flammeus
4976,Asio otus
4977,Athene cunicularia
4978,Bubo virginianus
4979,Glaucidium gnoma
4980,Megascops kennicottii
4981,Tyto alba
4982,Phalacrocorax auritus
4983,Elgaria multicarinata
4984,Elgaria panamintina
4985,Lichanura trivirgata
4986,Chionactis occipitalis
4987,Coluber flagellum
4988,Coluber taeniatus
4989,Diadophis punctatus
4990,Hypsiglena chlorophaea
4991,Lampropeltis californiae
4992,Phyllorhynchus decurtatus
4993,Pituophis catenifer
4994,Rhinocheilus lecontei
4995,Salvadora hexalepis
4996,Sonora semiannulata
4997,Tantilla hobartsmithi
4998,Trimorphodon lyrophanes
4999,Coleonyx variegatus
5000,Callisaurus draconoides
5001,Crotaphytus bicinctores
5002,Dipsosaurus dorsalis
5003,Gambelia wislizenii
5004,Phrynosoma platyrhinos
5005,Sauromalus ater
5006,Sceloporus graciosus
5007,Sceloporus occidentalis
5008,Sceloporus uniformis
5009,Uma scoparia
5010,Uta stansburiana
5011,Rena humilis
5012,"Plestiodon """"gilberti"""""
5013,Aspidoscelis tigris
5014,Crotalus cerastes
5015,Crotalus mitchellii
5016,Xantusia vigilis
5017,Gopherus agassizii
5018,Anaxyrus boreas
5019,Anaxyrus punctatus
5020,Pseudacris hypochondriaca
5021,Lithobates catesbeianus
5022,Batrachoseps campi
5023,Globicephala macrorhynchus
5024,Lagenodelphis hosei
5025,Pseudorca crassidens
5026,Tursiops truncatus
5027,Rattus rattus
5028,Trichechus manatus
5029,Accipiter cooperii
5030,Accipiter striatus
5031,Buteo jamaicensis
5032,Buteo lineatus
5033,Buteo platypterus
5034,Buteo swainsoni
5035,Circus cyaneus
5036,Elanoides forficatus
5037,Cathartes aura
5038,Pandion haliaetus
5039,Anas acuta
5040,Anas clypeata
5041,Anas crecca
5042,Anas discors
5043,Anas platyrhynchos
5044,Anas strepera
5045,Aythya affinis
5046,Aythya collaris
5047,Branta canadensis
5048,Chen caerulescens
5049,Dendrocygna bicolor
5050,Lophodytes cucullatus
5051,Mergus serrator
5052,Somateria mollissima
5053,Chaetura pelagica
5054,Archilochus alexandri
5055,Archilochus colubris
5056,Caprimulgus carolinensis
5057,Caprimulgus vociferus
5058,Chordeiles acutipennis
5059,Chordeiles gundlachii
5060,Chordeiles minor
5061,Alle alle
5062,Charadrius melodus
5063,Charadrius semipalmatus
5064,Charadrius vociferus
5065,Charadrius wilsonia
5066,Pluvialis dominica
5067,Pluvialis squatarola
5068,Haematopus palliatus
5069,Anous minutus
5070,Anous stolidus
5071,Chlidonias niger
5072,Larus argentatus
5073,Larus atricilla
5074,Larus delawarensis
5075,Larus fuscus
5076,Larus hyperboreus
5077,Larus marinus
5078,Larus philadelphia
5079,Rynchops niger
5080,Sterna anaethetus
5081,Sterna antillarum
5082,Sterna caspia
5083,Sterna dougallii
5084,Sterna forsteri
5085,Sterna fuscata
5086,Sterna hirundo
5087,Sterna maxima
5088,Sterna nilotica
5089,Sterna sandvicensis
5090,Xema sabini
5091,Himantopus mexicanus
5092,Recurvirostra americana
5093,Actitis macularius
5094,Arenaria interpres
5095,Bartramia longicauda
5096,Calidris alba
5097,Calidris alpina
5098,Calidris bairdii
5099,Calidris canutus
5100,Calidris fuscicollis
5101,Calidris himantopus
5102,Calidris mauri
5103,Calidris melanotos
5104,Calidris minutilla
5105,Calidris pusilla
5106,Catoptrophorus semipalmatus
5107,Gallinago delicata
5108,Limnodromus griseus
5109,Limnodromus scolopaceus
5110,Numenius americanus
5111,Numenius phaeopus
5112,Phalaropus tricolor
5113,Philomachus pugnax
5114,Scolopax minor
5115,Tringa flavipes
5116,Tringa melanoleuca
5117,Tringa solitaria
5118,Tryngites subruficollis
5119,Stercorarius parasiticus
5120,Stercorarius pomarinus
5121,Columba livia
5122,Columbina passerina
5123,Geotrygon montana
5124,Leptotila verreauxi
5125,Patagioenas leucocephala
5126,Streptopelia decaocto
5127,Zenaida asiatica
5128,Zenaida aurita
5129,Zenaida macroura
5130,Ceryle alcyon
5131,Coccyzus americanus
5132,Coccyzus erythropthalmus
5133,Coccyzus minor
5134,Crotophaga ani
5135,Falco columbarius
5136,Falco peregrinus
5137,Falco sparverius
5138,Gavia immer
5139,Gavia pacifica
5140,Aramus guarauna
5141,Grus canadensis
5142,Fulica americana
5143,Gallinula chloropus
5144,Laterallus jamaicensis
5145,Porphyrio martinica
5146,Porzana carolina
5147,Rallus elegans
5148,Rallus limicola
5149,Rallus longirostris
5150,Bombycilla cedrorum
5151,Cardinalis cardinalis
5152,Passerina caerulea
5153,Passerina ciris
5154,Passerina cyanea
5155,Pheucticus ludovicianus
5156,Piranga olivacea
5157,Piranga rubra
5158,Spiza americana
5159,Coereba flaveola
5160,Corvus brachyrhynchos
5161,Ammodramus maritimus
5162,Ammodramus savannarum
5163,Chondestes grammacus
5164,Junco hyemalis
5165,Melospiza georgiana
5166,Melospiza lincolnii
5167,Melospiza melodia
5168,Passerculus sandwichensis
5169,Passerella iliaca
5170,Pipilo erythrophthalmus
5171,Pooecetes gramineus
5172,Spizella pallida
5173,Spizella passerina
5174,Spizella pusilla
5175,Zonotrichia albicollis
5176,Zonotrichia leucophrys
5177,Carduelis tristis
5178,Hirundo rustica
5179,Petrochelidon fulva
5180,Petrochelidon pyrrhonota
5181,Progne subis
5182,Riparia riparia
5183,Stelgidopteryx serripennis
5184,Tachycineta bicolor
5185,Tachycineta cyaneoviridis
5186,Agelaius phoeniceus
5187,Dolichonyx oryzivorus
5188,Icterus galbula
5189,Icterus spurius
5190,Molothrus ater
5191,Molothrus bonariensis
5192,Quiscalus quiscula
5193,Sturnella magna
5194,Xanthocephalus xanthocephalus
5195,Lanius ludovicianus
5196,Dumetella carolinensis
5197,Mimus gundlachii
5198,Mimus polyglottos
5199,Toxostoma rufum
5200,Anthus rubescens
5201,Baeolophus bicolor
5202,Dendroica caerulescens
5203,Dendroica castanea
5204,Dendroica cerulea
5205,Dendroica coronata
5206,Dendroica discolor
5207,Dendroica dominica
5208,Dendroica fusca
5209,Dendroica magnolia
5210,Dendroica nigrescens
5211,Dendroica palmarum
5212,Dendroica pensylvanica
5213,Dendroica petechia
5214,Dendroica pinus
5215,Dendroica striata
5216,Dendroica tigrina
5217,Dendroica townsendi
5218,Dendroica virens
5219,Geothlypis trichas
5220,Helmitheros vermivorum
5221,Icteria virens
5222,Limnothlypis swainsonii
5223,Mniotilta varia
5224,Oporornis agilis
5225,Oporornis formosus
5226,Oporornis philadelphia
5227,Parula americana
5228,Protonotaria citrea
5229,Seiurus aurocapilla
5230,Seiurus motacilla
5231,Seiurus noveboracensis
5232,Setophaga ruticilla
5233,Vermivora celata
5234,Vermivora chrysoptera
5235,Vermivora peregrina
5236,Vermivora pinus
5237,Vermivora ruficapilla
5238,Wilsonia canadensis
5239,Wilsonia citrina
5240,Wilsonia pusilla
5241,Passer domesticus
5242,Polioptila caerulea
5243,Regulus calendula
5244,Sturnus vulgaris
5245,Spindalis zena
5246,Tiaris olivaceus
5247,Cistothorus platensis
5248,Troglodytes aedon
5249,Catharus fuscescens
5250,Catharus guttatus
5251,Catharus minimus
5252,Catharus ustulatus
5253,Hylocichla mustelina
5254,Sialia sialis
5255,Turdus migratorius
5256,Contopus caribaeus
5257,Contopus cooperi
5258,Contopus virens
5259,Empidonax flaviventris
5260,Empidonax minimus
5261,Empidonax traillii
5262,Empidonax virescens
5263,Myiarchus crinitus
5264,Myiarchus sagrae
5265,Sayornis nigricans
5266,Sayornis phoebe
5267,Tyrannus dominicensis
5268,Tyrannus forficatus
5269,Tyrannus melancholicus/couchii
5270,Ardea alba
5271,Ardea herodias
5272,Botaurus lentiginosus
5273,Bubulcus ibis
5274,Butorides virescens
5275,Egretta caerulea
5276,Egretta rufescens
5277,Egretta thula
5278,Egretta tricolor
5279,Ixobrychus exilis
5280,Nyctanassa violacea
5281,Nycticorax nycticorax
5282,Pelecanus erythrorhynchos
5283,Pelecanus occidentalis
5284,Eudocimus albus
5285,Platalea ajaja
5286,Plegadis falcinellus
5287,Phaethon lepturus
5288,Phoenicopterus ruber
5289,Colaptes auratus
5290,Melanerpes erythrocephalus
5291,Picoides villosus
5292,Sphyrapicus varius
5293,Podilymbus podiceps
5294,Oceanites oceanicus
5295,Puffinus lherminieri
5296,Asio flammeus
5297,Asio otus
5298,Athene cunicularia
5299,Megascops asio
5300,Strix varia
5301,Tyto alba
5302,Anhinga anhinga
5303,Fregata magnificens
5304,Phalacrocorax auritus
5305,Morus bassanus
5306,Sula dactylatra
5307,Sula leucogaster
5308,Sula sula
5309,Caretta caretta
5310,Odocoileus virginianus
5311,Sus scrofa
5312,Canis familiaris
5313,Canis latrans
5314,Urocyon cinereoargenteus
5315,Felis catus
5316,Lynx rufus
5317,Puma concolor coryi
5318,Mephitis mephitis
5319,Lutra canadensis
5320,Mustela vison
5321,Procyon lotor
5322,Ursus americanus floridanus
5323,Globicephala macrorhynchus
5324,Tursiops truncatus
5325,Lasiurus intermedius
5326,Pipistrellus subflavus
5327,Dasypus novemcinctus
5328,Didelphis marsupialis
5329,Sylvilagus floridanus
5330,Sylvilagus palustris
5331,Neofiber alleni
5332,Oryzomys palustris
5333,Peromyscus gossypinus allapaticola
5334,Sigmodon hispidus
5335,Mus musculus
5336,Rattus rattus
5337,Glaucomys volans
5338,Sciurus carolinensis
5339,Sciurus niger
5340,Sciurus niger avicennia
5341,Trichechus manatus
5342,Blarina brevicauda
5343,Blarina carolinensis
5344,Cryptotis parva
5345,Accipiter cooperii
5346,Accipiter striatus
5347,Aquila chrysaetos
5348,Buteo brachyurus
5349,Buteo jamaicensis
5350,Buteo lagopus
5351,Buteo lineatus
5352,Buteo platypterus
5353,Buteo swainsoni
5354,Circus cyaneus
5355,Elanoides forficatus
5356,Elanus leucurus
5357,Haliaeetus leucocephalus
5358,Ictinia mississippiensis
5359,Rostrhamus sociabilis
5360,Rostrhamus sociabilis plumbeus
5361,Cathartes aura
5362,Coragyps atratus
5363,Pandion haliaetus
5364,Aix sponsa
5365,Anas acuta
5366,Anas americana
5367,Anas bahamensis
5368,Anas clypeata
5369,Anas crecca
5370,Anas cyanoptera
5371,Anas discors
5372,Anas fulvigula
5373,Anas penelope
5374,Anas platyrhynchos
5375,Anas rubripes
5376,Anas strepera
5377,Aythya affinis
5378,Aythya americana
5379,Aythya collaris
5380,Aythya marila
5381,Aythya valisineria
5382,Branta bernicla
5383,Branta canadensis
5384,Bucephala albeola
5385,Bucephala clangula
5386,Chen caerulescens
5387,Clangula hyemalis
5388,Dendrocygna bicolor
5389,Lophodytes cucullatus
5390,Melanitta nigra
5391,Melanitta perspicillata
5392,Mergus serrator
5393,Nomonyx dominicus
5394,Oxyura jamaicensis
5395,Chaetura pelagica
5396,Archilochus colubris
5397,Caprimulgus carolinensis
5398,Caprimulgus vociferus
5399,Chordeiles acutipennis
5400,Chordeiles gundlachii
5401,Chordeiles minor
5402,Charadrius alexandrinus
5403,Charadrius melodus
5404,Charadrius semipalmatus
5405,Charadrius vociferus
5406,Charadrius wilsonia
5407,Pluvialis dominica
5408,Pluvialis squatarola
5409,Haematopus palliatus
5410,Anous stolidus
5411,Chlidonias niger
5412,Larus argentatus
5413,Larus atricilla
5414,Larus delawarensis
5415,Larus fuscus
5416,Larus marinus
5417,Larus philadelphia
5418,Larus pipixcan
5419,Rynchops niger
5420,Sterna anaethetus
5421,Sterna antillarum
5422,Sterna caspia
5423,Sterna dougallii
5424,Sterna forsteri
5425,Sterna fuscata
5426,Sterna hirundo
5427,Sterna maxima
5428,Sterna nilotica
5429,Sterna sandvicensis
5430,Himantopus mexicanus
5431,Recurvirostra americana
5432,Actitis macularius
5433,Arenaria interpres
5434,Bartramia longicauda
5435,Calidris acuminata
5436,Calidris alba
5437,Calidris alpina
5438,Calidris bairdii
5439,Calidris canutus
5440,Calidris ferruginea
5441,Calidris fuscicollis
5442,Calidris himantopus
5443,Calidris mauri
5444,Calidris melanotos
5445,Calidris minutilla
5446,Calidris pusilla
5447,Catoptrophorus semipalmatus
5448,Gallinago delicata
5449,Limnodromus griseus
5450,Limnodromus scolopaceus
5451,Limosa fedoa
5452,Limosa lapponica
5453,Limosa limosa
5454,Numenius americanus
5455,Numenius phaeopus
5456,Phalaropus lobatus
5457,Phalaropus tricolor
5458,Philomachus pugnax
5459,Scolopax minor
5460,Tringa flavipes
5461,Tringa melanoleuca
5462,Tringa solitaria
5463,Tryngites subruficollis
5464,Stercorarius parasiticus
5465,Stercorarius pomarinus
5466,Mycteria americana
5467,Columba livia
5468,Columbina passerina
5469,Geotrygon chrysia
5470,Patagioenas leucocephala
5471,Streptopelia decaocto
5472,Zenaida asiatica
5473,Zenaida aurita
