,sci_name
274,Urocyon cinereoargenteus
275,Vulpes macrotis
276,Vulpes vulpes
277,Lynx rufus
278,Puma concolor
279,Mephitis mephitis
280,Spilogale gracilis
281,Lontra canadensis
282,Taxidea taxus
283,Bassariscus astutus
284,Procyon lotor
285,Ursus americanus
286,Nyctinomops macrotis
287,Tadarida brasiliensis
288,Antrozous pallidus
289,Lasiurus cinereus
290,Myotis californicus
291,Myotis yumanensis
292,Pipistrellus hesperus
293,Lepus californicus
294,Sylvilagus audubonii
295,Castor canadensis
296,Neotoma cinerea
297,Neotoma lepida
298,Ondatra zibethicus
299,Onychomys leucogaster
300,Peromyscus boylii
301,Peromyscus crinitus
302,Peromyscus maniculatus
303,Peromyscus truei
304,Reithrodontomys megalotis
305,Erethizon dorsatum
306,Thomomys bottae
307,Dipodomys ordii
308,Perognathus flavescens
309,Ammospermophilus leucurus
310,Cynomys leucurus
311,Neotamias rufus
312,Spermophilus variegatus
313,Accipiter cooperii
314,Accipiter gentilis
315,Accipiter striatus
316,Aquila chrysaetos
317,Buteo jamaicensis
318,Buteo swainsoni
319,Circus cyaneus
320,Haliaeetus leucocephalus
321,Cathartes aura
322,Gymnogyps californianus
323,Pandion haliaetus
324,Anas americana
325,Anas crecca
326,Anas cyanoptera
327,Anas platyrhynchos
328,Branta canadensis
329,Bucephala clangula
330,Mergus merganser
331,Aeronautes saxatalis
332,Archilochus alexandri
333,Selasphorus platycercus
334,Selasphorus rufus
335,Chordeiles minor
336,Phalaenoptilus nuttallii
337,Charadrius vociferus
338,Actitis macularius
339,Calidris minutilla
340,Gallinago gallinago
341,Numenius americanus
342,Tringa solitaria
343,Columba livia
344,Zenaida macroura
345,Ceryle alcyon
346,Coccyzus americanus
347,Falco columbarius
348,Falco mexicanus
349,Falco peregrinus
350,Falco sparverius
351,Alectoris chukar
352,Meleagris gallopavo
353,Porzana carolina
354,Rallus limicola
355,Psaltriparus minimus
356,Eremophila alpestris
357,Bombycilla cedrorum
358,Passerina amoena
359,Passerina amoena X cyanea
360,Passerina caerulea
361,Passerina cyanea
362,Pheucticus ludovicianus
363,Pheucticus melanocephalus
364,Piranga ludoviciana
365,Certhia americana
366,Aphelocoma californica
367,Corvus brachyrhynchos
368,Corvus corax
369,Cyanocitta stelleri
370,Gymnorhinus cyanocephalus
371,Nucifraga columbiana
372,Pica hudsonia
373,Amphispiza belli
374,Amphispiza bilineata
375,Calamospiza melanocorys
376,Chondestes grammacus
377,Junco hyemalis caniceps
378,Junco hyemalis hyemalis
379,Junco hyemalis mearnsi
380,Junco hyemalis oreganus
381,Melospiza georgiana
382,Melospiza lincolnii
383,Melospiza melodia
384,Passerculus sandwichensis
385,Pipilo chlorurus
386,Pipilo maculatus
387,Pooecetes gramineus
388,Spizella arborea
389,Spizella breweri
390,Spizella passerina
391,Zonotrichia albicollis
392,Zonotrichia atricapilla
393,Zonotrichia leucophrys
394,Zonotrichia querula
395,Carduelis flammea
396,Carduelis pinus
397,Carduelis psaltria
398,Carduelis tristis
399,Carpodacus cassinii
400,Carpodacus mexicanus
401,Carpodacus purpureus
402,Coccothraustes vespertinus
403,Leucosticte atrata
404,Leucosticte tephrocotis
405,Hirundo rustica
406,Petrochelidon pyrrhonota
407,Riparia riparia
408,Stelgidopteryx serripennis
409,Tachycineta bicolor
410,Tachycineta thalassina
411,Agelaius phoeniceus
412,Euphagus cyanocephalus
413,Icterus bullockii
414,Icterus parisorum
415,Molothrus ater
416,Sturnella neglecta
417,Xanthocephalus xanthocephalus
418,Lanius excubitor
419,Lanius ludovicianus
420,Dumetella carolinensis
421,Mimus polyglottos
422,Oreoscoptes montanus
423,Toxostoma bendirei
424,Toxostoma rufum
425,Anthus rubescens
426,Baeolophus ridgwayi
427,Poecile atricapillus
428,Poecile gambeli
429,Dendroica coronata
430,Dendroica nigrescens
431,Dendroica petechia
432,Dendroica townsendi
433,Geothlypis trichas
434,Icteria virens
435,Oporornis tolmiei
436,Setophaga ruticilla
437,Vermivora celata
438,Vermivora luciae
439,Vermivora ruficapilla
440,Vermivora virginiae
441,Wilsonia pusilla
442,Passer domesticus
443,Polioptila caerulea
444,Regulus calendula
445,Regulus satrapa
446,Sitta canadensis
447,Sitta carolinensis
448,Sturnus vulgaris
449,Catherpes mexicanus
450,Cistothorus palustris
451,Salpinctes obsoletus
452,Thryomanes bewickii
453,Troglodytes aedon
454,Catharus guttatus
455,Myadestes townsendi
456,Sialia currucoides
457,Sialia mexicana
458,Turdus migratorius
459,Contopus cooperi
460,Contopus sordidulus
461,Empidonax oberholseri
462,Empidonax occidentalis
463,Empidonax traillii
464,Empidonax wrightii
465,Myiarchus cinerascens
466,Sayornis nigricans
467,Sayornis saya
468,Tyrannus verticalis
469,Tyrannus vociferans
470,Vireo gilvus
471,Vireo plumbeus
472,Vireo vicinior
473,Ardea alba
474,Ardea herodias
475,Egretta thula
476,Nycticorax nycticorax
477,Colaptes auratus
478,Melanerpes lewis
479,Picoides pubescens
480,Picoides villosus
481,Sphyrapicus nuchalis
482,Sphyrapicus thyroideus
483,Sphyrapicus varius
484,Aechmophorus occidentalis
485,Podiceps nigricollis
486,Asio flammeus
487,Asio otus
488,Athene cunicularia
489,Bubo virginianus
490,Megascops kennicottii
491,Hypsiglena torquata
492,Masticophis taeniatus
493,Pituophis catenifer
494,Thamnophis cyrtopsis
495,Thamnophis elegans
496,Crotaphytus collaris
497,Gambelia wislizenii
498,Phrynosoma hernandesi
499,Sceloporus graciosus
500,Sceloporus tristichus
501,Urosaurus ornatus
502,Uta stansburiana
503,Cnemidophorus tigris
504,Crotalus oreganus concolor
505,Bufo punctatus
506,Bufo woodhousii
507,Rana catesbeiana
508,Rana pipiens
509,Spea intermontana
510,Antilocapra americana
511,Bison bison
512,Ovis canadensis
513,Odocoileus hemionus
514,Odocoileus virginianus
515,Canis latrans
516,Urocyon cinereoargenteus
517,Vulpes velox
518,Vulpes vulpes
519,Lynx rufus
520,Puma concolor
521,Mephitis mephitis
522,Mustela frenata
523,Mustela nigripes
524,Mustela nivalis
525,Taxidea taxus
526,Procyon lotor
527,Corynorhinus townsendii
528,Eptesicus fuscus
529,Lasionycteris noctivagans
530,Lasiurus cinereus
531,Myotis ciliolabrum
532,Myotis lucifugus
533,Myotis septentrionalis
534,Myotis thysanodes pahasapensis
535,Myotis volans
536,Sylvilagus audubonii
537,Equus caballus
538,Castor canadensis
539,Microtus ochrogaster
540,Neotoma cinerea
541,Ondatra zibethicus
542,Peromyscus leucopus
543,Peromyscus maniculatus
544,Erethizon dorsatum
545,Cynomys ludovicianus
546,Tamias minimus
547,Accipiter cooperii
548,Accipiter gentilis
549,Accipiter striatus
550,Aquila chrysaetos
551,Buteo jamaicensis
552,Buteo lagopus
553,Buteo platypterus
554,Buteo regalis
555,Buteo swainsoni
556,Circus cyaneus
557,Haliaeetus leucocephalus
558,Cathartes aura
559,Aix sponsa
560,Anas acuta
561,Anas americana
562,Anas clypeata
563,Anas crecca
564,Anas cyanoptera
565,Anas discors
566,Anas platyrhynchos
567,Anas strepera
568,Aythya affinis
569,Aythya americana
570,Aythya collaris
571,Aythya valisineria
572,Branta canadensis
573,Bucephala albeola
574,Chen caerulescens
575,Cygnus buccinator
576,Mergus merganser
577,Oxyura jamaicensis
578,Aeronautes saxatalis
579,Archilochus colubris
580,Chordeiles minor
581,Phalaenoptilus nuttallii
582,Charadrius vociferus
583,Chlidonias niger
584,Larus delawarensis
585,Larus pipixcan
586,Sterna forsteri
587,Recurvirostra americana
588,Actitis macularius
589,Bartramia longicauda
590,Calidris bairdii
591,Calidris himantopus
592,Calidris minutilla
593,Calidris pusilla
594,Catoptrophorus semipalmatus
