activity_id,activity_name,park_id
82C3230F-6F87-452C-A01B-F8458867B26A,Freshwater Swimming,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
C2801992-F34D-4974-A0F2-80FF04309EE4,Saltwater Swimming,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,6DA17C86-088E-4B4D-B862-7C1BD5CF236B
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
B204DE60-5A24-43DD-8902-C81625A09A74,Living History,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
28880A5B-3D29-41AC-BD8B-24743E7A070F,First Person Interpretation,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,E4C7784E-66A0-4D44-87D0-3E072F5FEF43
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,1A47416F-DAA3-4137-9F30-14AF86B4E547
A0631906-9672-4583-91DE-113B93DB6B6E,Self-Guided Tours - Walking,1A47416F-DAA3-4137-9F30-14AF86B4E547
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,E6E1D22A-7A89-47F8-813C-B611059A8CF9
B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours,E6E1D22A-7A89-47F8-813C-B611059A8CF9
DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program,E6E1D22A-7A89-47F8-813C-B611059A8CF9
0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film,E6E1D22A-7A89-47F8-813C-B611059A8CF9
C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits,E6E1D22A-7A89-47F8-813C-B611059A8CF9
24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping,E6E1D22A-7A89-47F8-813C-B611059A8CF9
467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store,E6E1D22A-7A89-47F8-813C-B611059A8CF9
09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture,64B9F127-31ED-43C9-882D-D7CD471AF314
FAED7F97-3474-4C21-AB42-FB0768A2F826,Cultural Demonstrations,64B9F127-31ED-43C9-882D-D7CD471AF314
