,Park Name,Category,Order,Family,Scientific Name,Common Names
51,Acadia National Park,Bird,Anseriformes,Anatidae,Anas americana,"American Wigeon, Baldpate"
52,Acadia National Park,Bird,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal
53,Acadia National Park,Bird,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal
54,Acadia National Park,Bird,Anseriformes,Anatidae,Anas penelope,"Eurasian Wigeon, European Widgeon, Widgeon"
55,Acadia National Park,Bird,Anseriformes,Anatidae,Anas platyrhynchos,"Common Mallard, Mallard"
56,Acadia National Park,Bird,Anseriformes,Anatidae,Anas rubripes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck"
57,Acadia National Park,Bird,Anseriformes,Anatidae,Anas strepera,Gadwall
58,Acadia National Park,Bird,Anseriformes,Anatidae,Anser albifrons,"Common White-Fronted Goose, Greater White-Fronted Goose"
59,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck
60,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya marila,"Greater Scaup, Greater Scaup Duck"
61,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya valisineria,Canvasback
62,Acadia National Park,Bird,Anseriformes,Anatidae,Branta canadensis,"Canada Goose, Eastern Canada Goose"
63,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala albeola,"Bufflehead, Buffle-Head"
64,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala clangula,"American Golden-Eye, Common Goldeneye"
65,Acadia National Park,Bird,Anseriformes,Anatidae,Chen caerulescens,"Blue Goose, Snow Goose"
66,Acadia National Park,Bird,Anseriformes,Anatidae,Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck"
67,Acadia National Park,Bird,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser
68,Acadia National Park,Bird,Anseriformes,Anatidae,Mergus merganser,"American Merganser, Common Merganser"
69,Acadia National Park,Bird,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser
70,Acadia National Park,Bird,Anseriformes,Anatidae,Somateria mollissima,"American Eider, Common Eider, Eider Duck, Northern Eider"
71,Acadia National Park,Bird,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift
72,Acadia National Park,Bird,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird
73,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,"Eastern Whip-Poor-Will, Whip-Poor-Will"
74,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles minor,"Common Nighthawk, Eastern Nighthawk"
75,Acadia National Park,Bird,Charadriiformes,Alcidae,Cepphus grylle,"Black Guillemot, Sea Pigeon, Southern Black Guillemot"
